chunk_x,chunk_y,records,file
48,57,2,c_048_57.json
49,57,483,c_049_57.json
41,57,27,c_041_57.json
41,58,633,c_041_58.json
40,58,1158,c_040_58.json
49,58,1594,c_049_58.json
48,58,357,c_048_58.json
41,59,1575,c_041_59.json
40,59,1728,c_040_59.json
39,59,723,c_039_59.json
42,59,719,c_042_59.json
48,59,898,c_048_59.json
49,59,996,c_049_59.json
45,59,222,c_045_59.json
38,59,545,c_038_59.json
44,59,601,c_044_59.json
43,59,301,c_043_59.json
37,59,143,c_037_59.json
41,60,1712,c_041_60.json
42,60,1712,c_042_60.json
40,60,1692,c_040_60.json
43,60,1692,c_043_60.json
39,60,1694,c_039_60.json
44,60,1694,c_044_60.json
47,59,131,c_047_59.json
38,60,1695,c_038_60.json
45,60,1506,c_045_60.json
37,60,1238,c_037_60.json
46,60,1419,c_046_60.json
47,60,1663,c_047_60.json
48,60,1693,c_048_60.json
49,60,623,c_049_60.json
36,60,248,c_036_60.json
35,60,546,c_035_60.json
40,61,1660,c_040_61.json
41,61,1639,c_041_61.json
42,61,1639,c_042_61.json
43,61,1660,c_043_61.json
39,61,1660,c_039_61.json
44,61,1660,c_044_61.json
34,60,525,c_034_60.json
38,61,1660,c_038_61.json
45,61,1660,c_045_61.json
37,61,1657,c_037_61.json
46,61,1657,c_046_61.json
36,61,1657,c_036_61.json
47,61,1657,c_047_61.json
35,61,1658,c_035_61.json
48,61,1658,c_048_61.json
33,60,107,c_033_60.json
34,61,1658,c_034_61.json
49,61,1531,c_049_61.json
33,61,940,c_033_61.json
50,61,507,c_050_61.json
40,62,1618,c_040_62.json
41,62,1628,c_041_62.json
42,62,1628,c_042_62.json
43,62,1618,c_043_62.json
39,62,1620,c_039_62.json
44,62,1620,c_044_62.json
38,62,1617,c_038_62.json
45,62,1617,c_045_62.json
37,62,1603,c_037_62.json
46,62,1622,c_046_62.json
36,62,856,c_036_62.json
47,62,1621,c_047_62.json
35,62,1056,c_035_62.json
48,62,1619,c_048_62.json
34,62,1575,c_034_62.json
49,62,1620,c_049_62.json
33,62,1257,c_033_62.json
50,62,1620,c_050_62.json
51,61,4,c_051_61.json
51,62,1090,c_051_62.json
40,63,1581,c_040_63.json
41,63,1581,c_041_63.json
42,63,1581,c_042_63.json
43,63,1581,c_043_63.json
39,63,1580,c_039_63.json
44,63,1580,c_044_63.json
38,63,1582,c_038_63.json
45,63,1582,c_045_63.json
37,63,1555,c_037_63.json
46,63,1580,c_046_63.json
36,63,82,c_036_63.json
47,63,1581,c_047_63.json
48,63,1580,c_048_63.json
52,62,93,c_052_62.json
34,63,407,c_034_63.json
49,63,1580,c_049_63.json
33,63,403,c_033_63.json
50,63,1581,c_050_63.json
51,63,1452,c_051_63.json
52,63,183,c_052_63.json
40,64,1539,c_040_64.json
41,64,1535,c_041_64.json
42,64,1535,c_042_64.json
43,64,1539,c_043_64.json
39,64,1539,c_039_64.json
44,64,1539,c_044_64.json
38,64,1538,c_038_64.json
45,64,1538,c_045_64.json
37,64,1539,c_037_64.json
46,64,1539,c_046_64.json
36,64,1159,c_036_64.json
47,64,1539,c_047_64.json
48,64,1536,c_048_64.json
49,64,1540,c_049_64.json
50,64,1537,c_050_64.json
51,64,1466,c_051_64.json
52,64,956,c_052_64.json
35,64,285,c_035_64.json
40,65,1497,c_040_65.json
41,65,1491,c_041_65.json
42,65,1491,c_042_65.json
43,65,1497,c_043_65.json
39,65,1496,c_039_65.json
44,65,1496,c_044_65.json
38,65,1495,c_038_65.json
45,65,1495,c_045_65.json
37,65,1495,c_037_65.json
46,65,1403,c_046_65.json
36,65,1497,c_036_65.json
47,65,1497,c_047_65.json
34,64,58,c_034_64.json
35,65,1494,c_035_65.json
48,65,1283,c_048_65.json
34,65,1453,c_034_65.json
49,65,1359,c_049_65.json
50,65,1494,c_050_65.json
51,65,1493,c_051_65.json
33,65,172,c_033_65.json
52,65,1490,c_052_65.json
53,65,870,c_053_65.json
41,66,1469,c_041_66.json
42,66,1469,c_042_66.json
40,66,1447,c_040_66.json
43,66,1447,c_043_66.json
39,66,1446,c_039_66.json
44,66,1446,c_044_66.json
38,66,1450,c_038_66.json
45,66,1450,c_045_66.json
37,66,1449,c_037_66.json
46,66,451,c_046_66.json
36,66,1449,c_036_66.json
47,66,1449,c_047_66.json
35,66,1450,c_035_66.json
48,66,1166,c_048_66.json
34,66,1451,c_034_66.json
49,66,997,c_049_66.json
33,66,1340,c_033_66.json
50,66,1021,c_050_66.json
54,65,399,c_054_65.json
51,66,1088,c_051_66.json
32,66,1201,c_032_66.json
52,66,1451,c_052_66.json
31,66,1078,c_031_66.json
55,65,15,c_055_65.json
53,66,1451,c_053_66.json
54,66,1075,c_054_66.json
40,67,1401,c_040_67.json
41,67,1394,c_041_67.json
42,67,1394,c_042_67.json
43,67,1401,c_043_67.json
39,67,1401,c_039_67.json
44,67,1401,c_044_67.json
28,65,148,c_028_65.json
38,67,1404,c_038_67.json
45,67,1404,c_045_67.json
27,65,42,c_027_65.json
37,67,1401,c_037_67.json
46,67,667,c_046_67.json
36,67,1402,c_036_67.json
47,67,1092,c_047_67.json
35,67,1403,c_035_67.json
48,67,474,c_048_67.json
28,66,1230,c_028_66.json
34,67,1401,c_034_67.json
27,66,243,c_027_66.json
49,67,695,c_049_67.json
33,67,1402,c_033_67.json
50,67,1396,c_050_67.json
29,66,444,c_029_66.json
30,66,406,c_030_66.json
32,67,1403,c_032_67.json
51,67,1385,c_051_67.json
31,67,1401,c_031_67.json
52,67,1401,c_052_67.json
30,67,1403,c_030_67.json
53,67,1403,c_053_67.json
29,67,1131,c_029_67.json
54,67,1402,c_054_67.json
55,66,64,c_055_66.json
40,68,1354,c_040_68.json
41,68,1347,c_041_68.json
42,68,1347,c_042_68.json
43,68,1352,c_043_68.json
39,68,1354,c_039_68.json
44,68,971,c_044_68.json
38,68,1351,c_038_68.json
45,68,764,c_045_68.json
37,68,1354,c_037_68.json
46,68,460,c_046_68.json
28,67,1251,c_028_67.json
55,67,1341,c_055_67.json
36,68,1352,c_036_68.json
47,68,852,c_047_68.json
35,68,1351,c_035_68.json
48,68,1260,c_048_68.json
57,66,175,c_057_66.json
27,67,25,c_027_67.json
34,68,1354,c_034_68.json
49,68,1351,c_049_68.json
56,66,19,c_056_66.json
33,68,1353,c_033_68.json
50,68,1353,c_050_68.json
56,67,894,c_056_67.json
57,67,1118,c_057_67.json
32,68,1351,c_032_68.json
51,68,1351,c_051_68.json
31,68,1352,c_031_68.json
52,68,1352,c_052_68.json
30,68,1354,c_030_68.json
53,68,1354,c_053_68.json
29,68,1100,c_029_68.json
54,68,1307,c_054_68.json
58,67,790,c_058_67.json
40,69,1302,c_040_69.json
41,69,1301,c_041_69.json
42,69,1301,c_042_69.json
43,69,1302,c_043_69.json
39,69,1301,c_039_69.json
44,69,1301,c_044_69.json
38,69,1302,c_038_69.json
45,69,1123,c_045_69.json
28,68,515,c_028_68.json
55,68,1326,c_055_68.json
37,69,1302,c_037_69.json
59,66,3,c_059_66.json
60,66,5,c_060_66.json
36,69,1301,c_036_69.json
47,69,1301,c_047_69.json
46,69,868,c_046_69.json
35,69,1303,c_035_69.json
